distance_in_meters,duration_in_seconds,pickup_in_meters,pickup_in_seconds,driver_rating,order_hour,order_wday,order_month,driver_experience_days,price_start_local,price_bid_local
2703,419,1558,248,4.93731,1,0,6,706,200,250
2262,296,1068,182,4.93731,1,0,6,706,200,250
0,0,7772,732,4.99435,1,0,6,531,1000,1300
9297,856,443,77,4.99435,1,0,6,531,300,300
2837,366,977,130,4.99523,1,0,6,728,200,250
1634,189,1588,197,4.99523,1,0,6,728,200,250
1634,189,727,106,4.93731,1,0,6,706,200,250
6070,612,3935,403,4.98119,1,0,6,37,250,300
7533,931,1243,157,4.96821,1,0,6,255,250,250
1065,189,1636,288,4.93731,1,0,6,706,200,300
1113,133,660,90,4.93731,1,0,6,706,200,250
0,0,2975,349,4.99435,1,0,6,531,250,250
5578,605,1297,122,4.96821,1,0,6,255,200,300
2045,257,999,138,4.93731,1,0,6,706,200,250
1318,204,625,87,4.99523,2,0,6,728,200,250
1318,204,662,96,4.93731,2,0,6,706,200,250
2560,350,1330,191,4.93731,2,0,6,706,200,250
1443,158,883,113,4.93731,2,0,6,706,200,250
6397,741,2659,284,4.99435,2,0,6,531,300,350
2393,265,752,128,4.98119,2,0,6,37,200,200
2508,337,1086,138,4.99523,2,0,6,728,150,250
2445,278,440,97,4.98119,2,0,6,37,200,200
1741,257,1410,203,4.96821,2,0,6,255,150,200
2158,343,1345,217,4.93731,2,0,6,706,110,250
0,0,520,69,4.99523,2,0,6,728,200,250
0,0,552,77,4.93731,2,0,6,706,200,250
1894,317,662,106,4.93731,2,0,6,706,200,250
2772,385,1149,127,4.99435,2,0,6,531,200,200
9588,1043,8172,993,4.99435,2,0,6,531,500,600
0,0,1825,286,4.99435,2,0,6,531,200,370
0,0,1511,247,4.99435,2,0,6,531,340,340
0,0,508,74,5.0,2,0,6,253,200,300
6728,803,1415,272,4.96821,2,0,6,255,350,350
2269,289,112,25,5.0,3,0,6,253,150,200
1823,297,93,21,4.99523,3,0,6,728,200,250
4898,494,4965,349,4.99435,3,0,6,531,150,300
4898,494,1765,229,5.0,3,0,6,253,150,300
6975,827,360,42,4.99435,3,0,6,531,300,350
2802,378,3354,487,4.99435,3,0,6,531,200,250
0,0,1053,136,4.99435,3,0,6,531,200,250
7393,801,3476,334,5.0,3,0,6,253,350,400
0,0,845,133,4.99435,3,0,6,531,350,350
6679,800,751,112,4.99435,3,0,6,531,300,350
2853,418,790,115,4.99435,3,0,6,531,200,200
1816,303,1498,257,5.0,3,0,6,253,200,250
3653,486,964,131,5.0,4,0,6,253,200,300
4878,488,653,144,4.99523,4,0,6,728,200,480
8059,728,2464,399,4.95479,4,0,6,0,300,380
8059,728,3474,508,4.99435,4,0,6,531,300,410
1523,207,650,96,5.0,4,0,6,253,200,200
2668,331,1872,264,4.95479,4,0,6,0,200,200
2668,331,1448,188,4.95479,4,0,6,0,200,200
1796,243,1517,202,4.95479,4,0,6,0,150,200
2897,436,654,57,4.99523,4,0,6,728,200,410
1796,243,262,44,5.0,4,0,6,253,200,250
8142,944,3149,490,4.95479,4,0,6,0,350,400
2283,299,0,0,5.0,4,0,6,253,200,250
2424,353,859,124,5.0,4,0,6,253,300,300
0,0,51,10,4.99435,5,0,6,531,250,300
0,0,147,19,5.0,5,0,6,253,250,250
0,0,3086,441,5.0,5,0,6,253,250,330
4980,681,984,165,4.99435,5,0,6,531,200,200
4980,681,981,164,5.0,5,0,6,253,200,200
0,0,859,120,5.0,5,0,6,253,200,250
1494,218,1316,203,4.95479,5,0,6,0,200,200
1494,218,1358,264,5.0,5,0,6,253,200,250
2733,405,1262,182,4.95479,5,0,6,0,150,200
6748,681,3758,402,5.0,6,0,6,253,250,330
2847,328,1432,183,5.0,6,0,6,253,150,200
1537,229,1505,182,4.95479,6,0,6,0,200,200
5963,624,779,126,4.95479,6,0,6,0,200,230
2057,327,472,69,5.0,6,0,6,253,160,200
3979,467,2129,222,4.84071,6,0,6,248,200,250
7004,720,1260,160,4.97898,6,0,6,521,300,350
0,0,489,79,4.96044,6,0,6,33,150,150
0,0,598,94,4.96044,6,0,6,33,300,300
0,0,2234,318,4.84071,6,0,6,248,300,300
4404,436,893,108,4.84071,6,0,6,248,150,200
0,0,2010,309,4.99426,7,0,6,31,300,350
0,0,2520,337,4.97898,7,0,6,521,300,300
5799,672,5057,518,4.99099,7,0,6,63,150,150
8334,796,927,148,4.99426,7,0,6,31,250,300
8334,796,371,75,4.97492,7,0,6,239,250,330
5956,658,210,40,5.0,7,0,6,46,250,300
2175,302,1215,147,5.0,7,0,6,729,150,200
7714,825,767,126,4.97898,8,0,6,521,250,300
7714,825,810,132,4.97492,8,0,6,239,250,330
8643,660,201,40,4.99099,8,0,6,63,350,350
14305,971,1101,157,4.99841,8,0,6,-208,300,300
2165,299,470,95,4.99426,8,0,6,31,150,200
4275,498,1874,259,4.84071,8,0,6,248,150,200
1242,161,448,67,4.99426,8,0,6,31,150,150
2361,256,1009,140,5.0,8,0,6,46,200,200
3128,360,2209,279,4.99929,8,0,6,-551,200,200
0,0,478,73,4.99929,8,0,6,-551,250,250
7083,865,293,27,4.97492,8,0,6,239,200,250
0,0,1286,163,5.0,8,0,6,729,150,200
6626,747,1606,297,4.97492,8,0,6,239,250,330
2158,317,1282,172,4.99929,8,0,6,-551,150,200
2158,317,714,113,4.84071,8,0,6,248,150,180
0,0,1321,222,4.99426,8,0,6,31,500,500
0,0,880,135,4.84071,8,0,6,248,500,500
2026,306,1402,180,4.99841,8,0,6,-208,150,150
6626,747,1603,297,4.97492,8,0,6,239,250,330
0,0,1338,225,4.99426,8,0,6,31,510,510
0,0,880,135,4.84071,8,0,6,248,510,510
2767,348,493,73,4.84071,8,0,6,248,150,200
0,0,583,103,4.99426,8,0,6,31,160,200
0,0,900,130,4.84071,8,0,6,248,160,160
0,0,617,81,5.0,8,0,6,46,150,200
0,0,358,60,5.0,8,0,6,46,150,200
0,0,1236,144,5.0,8,0,6,729,160,200
0,0,132,17,5.0,8,0,6,46,160,200
7296,764,293,47,5.0,8,0,6,41,200,250
8624,794,249,60,4.98208,8,0,6,46,300,300
983,172,267,59,4.99841,8,0,6,-208,150,150
1334,202,1204,138,5.0,8,0,6,46,150,200
0,0,265,53,5.0,9,0,6,46,350,400
3960,413,1747,287,4.97492,9,0,6,239,200,250
2621,313,1619,212,4.99929,9,0,6,-551,150,150
1595,204,469,86,5.0,9,0,6,46,150,200
1923,251,455,69,5.0,9,0,6,729,150,200
1923,251,1055,122,5.0,9,0,6,46,150,200
1616,237,1540,223,4.99841,9,0,6,-208,150,150
1011,152,1664,218,4.99929,9,0,6,-551,150,150
1687,261,354,53,4.97492,9,0,6,239,150,200
0,0,562,81,5.0,9,0,6,46,150,200
0,0,534,87,5.0,9,0,6,525,150,200
4214,432,783,119,4.99091,9,0,6,-536,200,200
4214,432,1487,227,4.99929,9,0,6,-551,200,250
4214,432,1497,186,4.99099,9,0,6,63,200,250
5342,596,322,48,4.97492,9,0,6,239,200,250
1674,244,811,102,5.0,9,0,6,46,150,200
2923,373,807,111,5.0,9,0,6,46,150,200
235,42,1038,169,4.99929,9,0,6,-551,150,150
2633,360,711,99,5.0,9,0,6,46,150,200
2633,360,632,92,5.0,9,0,6,525,150,200
2939,354,1350,247,4.99929,9,0,6,-551,200,200
1607,232,1518,210,5.0,9,0,6,525,150,200
2707,346,332,62,5.0,9,0,6,525,150,200
1682,267,556,92,5.0,9,0,6,525,200,200
1871,267,1103,165,5.0,9,0,6,46,150,200
1419,154,690,63,5.0,9,0,6,46,150,200
0,0,2065,198,4.99091,9,0,6,-536,200,200
1871,267,1103,165,5.0,9,0,6,46,150,200
1845,296,338,55,5.0,9,0,6,729,150,200
0,0,1637,261,4.99929,9,0,6,-551,180,200
1786,283,1734,248,5.0,9,0,6,46,150,200
1918,288,1170,182,5.0,9,0,6,46,150,200
4154,446,1026,132,4.99929,9,0,6,-551,150,150
5064,539,3783,349,4.99929,9,0,6,-551,250,300
2880,480,1484,228,4.99091,10,0,6,-536,200,220
3305,541,938,146,5.0,10,0,6,525,150,200
2884,335,507,65,5.0,10,0,6,525,150,200
1241,180,328,63,5.0,10,0,6,46,150,200
5615,637,1159,133,5.0,10,0,6,525,180,240
1266,188,440,84,5.0,10,0,6,46,150,200
0,0,1888,246,4.99929,10,0,6,-551,200,200
1503,219,862,110,5.0,10,0,6,525,150,200
0,0,1060,170,4.99091,10,0,6,-536,150,150
0,0,639,102,5.0,10,0,6,46,150,200
0,0,823,133,5.0,10,0,6,525,150,200
2037,313,302,57,5.0,10,0,6,525,150,200
1193,210,633,137,5.0,10,0,6,46,150,200
1290,188,886,130,5.0,10,0,6,46,150,200
3600,411,1646,147,4.99929,10,0,6,-551,200,200
1733,252,1002,155,5.0,10,0,6,46,150,200
1733,252,992,108,5.0,10,0,6,525,150,200
1733,252,1006,158,5.0,10,0,6,46,150,200
6205,714,854,141,4.99099,10,0,6,63,250,250
3828,492,420,66,4.99091,10,0,6,-536,250,250
3828,492,728,102,5.0,10,0,6,41,250,250
0,0,412,76,4.99091,10,0,6,-536,150,150
0,0,675,113,5.0,10,0,6,46,200,200
8401,1019,221,44,5.0,10,0,6,525,200,300
3932,550,99,14,4.97916,10,0,6,54,170,200
0,0,1388,214,5.0,10,0,6,46,200,200
1484,241,1338,214,5.0,10,0,6,46,150,200
1773,306,1543,241,5.0,11,0,6,46,150,200
5557,583,269,25,5.0,11,0,6,525,250,300
4344,561,546,101,4.99214,11,0,6,-219,250,250
0,0,688,76,4.97492,11,0,6,239,250,250
4327,464,999,143,4.84071,11,0,6,248,180,180
2243,366,1171,209,4.98208,11,0,6,46,250,250
2743,344,1207,185,4.99091,11,0,6,-536,200,200
2190,346,234,51,4.99091,11,0,6,-536,150,150
5002,686,2379,271,5.0,11,0,6,525,250,250
0,0,328,56,4.98208,11,0,6,46,150,150
1905,325,422,65,4.84071,11,0,6,248,150,180
0,0,422,71,4.84071,11,0,6,248,150,180
1016,168,381,70,5.0,12,0,6,525,150,200
8745,728,2247,316,4.98208,12,0,6,46,250,250
3141,366,366,64,4.98208,12,0,6,46,150,200
5552,602,778,97,4.99523,12,0,6,728,250,300
2938,406,593,105,4.84071,12,0,6,248,200,200
0,0,621,135,5.0,12,0,6,525,150,200
1600,277,411,81,4.98208,12,0,6,46,150,200
0,0,1452,225,4.98208,12,0,6,46,150,200
0,0,1452,225,4.98208,12,0,6,46,150,200
3892,445,727,143,4.99214,12,0,6,-219,150,200
920,181,1711,246,4.99523,12,0,6,728,150,200
6101,656,1843,195,4.99841,12,0,6,-208,200,200
0,0,1456,239,4.99523,12,0,6,728,250,300
10291,1096,863,162,5.0,12,0,6,525,350,350
1384,233,389,69,5.0,12,0,6,525,160,200
1014,157,544,83,5.0,12,0,6,525,150,250
9054,774,766,141,4.98887,12,0,6,262,300,350
2919,427,1564,176,4.99523,12,0,6,728,200,250
23568,1482,5313,525,5.0,12,0,6,41,500,700
4425,606,1659,172,4.99214,12,0,6,-219,200,250
6333,530,2070,205,4.99099,12,0,6,63,300,300
3893,519,487,71,5.0,12,0,6,525,200,250
4243,565,832,152,5.0,13,0,6,525,180,240
2530,379,397,78,5.0,13,0,6,525,150,200
0,0,1126,184,5.0,13,0,6,-211,250,250
0,0,1215,206,4.99523,13,0,6,728,150,200
1908,338,444,107,5.0,13,0,6,525,150,200
0,0,4209,373,4.98887,13,0,6,262,250,250
0,0,1297,187,4.84071,13,0,6,248,180,180
5664,575,283,41,4.93731,13,0,6,706,250,330
0,0,519,91,4.93731,13,0,6,706,150,200
1971,288,562,103,4.99523,13,0,6,728,150,200
3585,389,245,51,4.99523,13,0,6,728,150,200
1632,198,887,102,4.97916,13,0,6,54,150,150
4127,470,2883,402,4.97916,13,0,6,54,180,220
1000,187,764,136,4.99523,13,0,6,728,150,200
14405,824,17326,919,5.0,14,0,6,41,400,490
0,0,503,80,4.99523,14,0,6,728,150,200
1737,214,788,125,4.84071,14,0,6,248,150,150
1765,260,386,68,4.99523,14,0,6,728,200,200
0,0,37,9,4.99523,14,0,6,728,150,200
2953,407,1004,156,4.84071,14,0,6,248,150,200
1196,181,968,137,4.99523,14,0,6,728,150,200
2786,372,765,94,4.97916,14,0,6,54,150,200
2786,372,2412,205,4.84071,14,0,6,248,150,180
2078,306,1105,168,4.84071,14,0,6,248,150,150
6035,690,574,139,4.99099,14,0,6,63,200,250
0,0,1903,274,4.84071,14,0,6,248,150,150
2545,281,1005,170,4.97881,14,0,6,239,150,200
8269,978,2177,330,4.99099,14,0,6,63,300,300
3033,334,19,5,4.84071,15,0,6,248,200,200
2744,384,1361,156,4.97881,15,0,6,239,150,200
3895,523,296,37,4.97881,15,0,6,239,170,220
5048,490,1550,194,4.84071,15,0,6,248,200,200
3367,418,830,116,4.97881,15,0,6,239,200,200
3728,409,2321,251,4.97881,15,0,6,239,150,300
1727,250,469,80,4.99523,15,0,6,728,150,200
0,0,284,55,4.99523,15,0,6,728,150,200
7827,885,792,91,4.97492,15,0,6,239,250,300
4946,409,360,72,4.97881,15,0,6,239,250,300
0,0,797,90,4.97492,15,0,6,239,250,300
2583,308,887,135,4.99523,15,0,6,728,150,200
3445,479,749,130,4.97881,15,0,6,239,200,200
2528,326,1006,165,4.97881,15,0,6,239,200,200
2590,350,1158,188,4.97881,15,0,6,239,150,200
2727,416,753,126,4.97881,15,0,6,239,150,200
1586,157,372,52,4.84071,15,0,6,248,150,150
5295,464,487,72,4.97916,15,0,6,54,250,250
0,0,777,104,5.0,15,0,6,525,200,250
0,0,1665,271,4.97881,15,0,6,239,300,300
3121,429,669,105,4.97916,15,0,6,54,200,200
9075,966,665,139,4.99099,15,0,6,63,250,300
9075,966,1563,195,4.97492,15,0,6,239,250,330
9633,741,1641,220,4.84071,15,0,6,248,500,500
3545,385,482,115,4.99099,16,0,6,63,200,200
3545,385,494,73,5.0,16,0,6,525,200,250
7558,808,521,134,5.0,16,0,6,525,250,250
2247,390,537,97,4.97916,16,0,6,54,150,200
3353,440,478,83,4.97916,16,0,6,54,150,200
3699,378,211,34,4.97916,16,0,6,54,150,200
3699,378,1849,252,4.97881,16,0,6,239,150,200
2285,251,482,96,4.84071,16,0,6,248,250,250
2285,251,170,28,4.97881,16,0,6,239,250,250
0,0,498,82,5.0,16,0,6,256,150,150
3591,477,1605,182,4.97881,16,0,6,239,150,200
1808,328,776,132,4.96044,16,0,6,33,200,200
0,0,523,50,4.97492,16,0,6,239,200,350
2178,331,1726,247,5.0,16,0,6,256,130,180
14540,975,1133,143,5.0,16,0,6,-211,500,500
2422,339,196,28,5.0,16,0,6,256,150,200
5991,611,489,62,5.0,16,0,6,525,200,200
1952,207,338,34,4.97916,16,0,6,54,140,170
3472,450,1895,243,5.0,16,0,6,256,200,200
0,0,2007,263,4.96168,16,0,6,-211,250,300
0,0,1126,149,4.84071,16,0,6,248,200,250
2615,314,1756,212,4.84071,16,0,6,248,150,200
1755,280,785,114,4.99523,16,0,6,728,150,200
1914,287,1137,158,5.0,17,0,6,256,150,200
7738,888,997,130,4.84071,17,0,6,248,250,300
1589,262,44,11,5.0,17,0,6,525,150,200
1589,262,625,96,5.0,17,0,6,256,150,200
7851,800,144,21,4.97881,17,0,6,239,250,350
2044,369,817,148,4.96044,17,0,6,33,180,200
1283,222,435,75,5.0,17,0,6,525,150,200
6580,582,2106,379,5.0,17,0,6,41,300,300
2812,504,1522,240,5.0,17,0,6,256,250,250
3637,506,647,128,4.99099,17,0,6,63,200,200
0,0,417,100,5.0,17,0,6,256,200,200
1526,275,30,7,5.0,17,0,6,525,150,200
10029,935,7890,762,4.98887,17,0,6,262,300,380
0,0,685,135,5.0,17,0,6,256,200,200
10152,967,342,76,4.97898,17,0,6,521,450,500
1034,192,24,6,5.0,17,0,6,525,150,200
0,0,680,139,5.0,17,0,6,256,200,200
865,156,567,70,4.99523,17,0,6,728,150,200
1383,148,1114,147,4.99523,17,0,6,728,150,200
6411,665,3504,330,4.97898,18,0,6,521,300,350
1603,223,377,75,4.97916,18,0,6,54,150,150
7037,702,531,92,4.99426,18,0,6,31,200,250
17224,1116,1216,99,4.98887,18,0,6,262,550,550
7472,810,215,52,4.97881,18,0,6,239,250,300
1611,269,886,120,4.99523,18,0,6,728,150,200
1611,269,828,122,5.0,18,0,6,525,150,200
0,0,1129,143,4.99523,18,0,6,728,200,200
1412,205,222,46,4.99426,18,0,6,31,150,200
4366,491,1220,126,4.96044,18,0,6,33,180,240
5459,574,1043,165,4.99426,18,0,6,31,250,300
5459,574,1096,137,5.0,18,0,6,525,250,300
0,0,782,144,4.99426,18,0,6,31,150,200
1699,286,300,66,4.97916,18,0,6,54,150,150
4365,495,1959,170,4.97881,18,0,6,239,200,250
4408,506,900,127,4.96291,18,0,6,-225,200,200
3753,581,1462,155,5.0,18,0,6,41,150,200
3753,581,866,132,4.99426,18,0,6,31,150,250
2829,315,2364,252,4.97881,18,0,6,239,150,200
2192,336,400,72,4.99426,18,0,6,31,150,200
2579,298,1725,183,4.97881,18,0,6,239,150,200
2966,297,370,41,4.97881,18,0,6,239,170,200
1775,268,1203,128,4.96291,18,0,6,-225,150,200
0,0,865,103,4.96291,18,0,6,-225,180,220
9621,1033,1278,223,5.0,18,0,6,41,300,350
5854,513,2782,274,4.97881,18,0,6,239,190,250
1799,335,1102,200,4.96291,18,0,6,-225,150,200
9263,877,1878,289,4.98887,18,0,6,262,300,380
2370,344,32,8,5.0,19,0,6,525,150,200
4155,406,1102,168,4.98887,19,0,6,262,250,300
5841,508,2769,267,4.97881,19,0,6,239,200,250
1208,178,1033,135,4.97881,19,0,6,239,150,200
0,0,1481,302,5.0,19,0,6,722,170,170
3796,551,2611,282,4.97881,19,0,6,239,200,250
2051,252,916,145,4.99426,19,0,6,31,150,200
4788,602,558,106,5.0,19,0,6,722,180,180
2505,338,372,72,4.99426,19,0,6,31,200,200
3777,589,324,78,4.97881,19,0,6,239,200,250
2518,376,428,99,4.99426,19,0,6,31,150,200
7390,927,535,102,4.99426,19,0,6,31,250,300
1147,144,889,123,5.0,19,0,6,525,150,200
2249,353,1720,237,5.0,19,0,6,722,200,200
10313,1212,1509,149,5.0,19,0,6,41,300,300
10313,1212,8514,971,4.99876,19,0,6,30,300,380
0,0,678,97,4.97881,19,0,6,239,300,530
0,0,2145,308,4.99876,19,0,6,30,150,150
4563,441,1890,196,4.99876,19,0,6,30,200,250
2666,352,1162,169,4.97881,19,0,6,239,150,240
7858,946,740,104,4.97881,19,0,6,239,300,350
8855,1013,904,140,4.97881,19,0,6,239,250,400
2728,422,1249,185,4.97881,19,0,6,239,150,200
2677,351,975,160,5.0,19,0,6,525,150,200
2728,422,1248,184,4.97881,19,0,6,239,150,200
1996,326,827,116,4.97881,19,0,6,239,150,200
2189,288,2024,288,4.99876,19,0,6,30,150,200
5608,717,1102,219,4.99523,20,0,6,728,300,350
1221,197,604,115,4.99523,20,0,6,728,150,200
1848,259,55,9,4.99523,20,0,6,728,170,200
4863,583,1512,162,4.96291,20,0,6,-225,250,250
1383,173,888,100,5.0,20,0,6,525,200,200
6000,753,1029,141,4.98834,20,0,6,534,200,250
6000,753,599,100,4.97881,20,0,6,239,200,250
0,0,1245,172,4.97881,20,0,6,239,200,250
5877,618,2213,220,4.99876,20,0,6,30,250,300
3753,434,330,48,4.99523,20,0,6,728,150,200
1573,273,1064,151,4.99523,20,0,6,728,150,200
7000,832,2473,363,4.99876,20,0,6,30,200,300
1063,155,894,121,4.99523,20,0,6,728,150,200
2319,323,1234,167,4.99523,20,0,6,728,150,200
0,0,906,131,4.99523,20,0,6,728,200,250
1931,282,1130,164,4.99523,20,0,6,728,200,200
1597,256,1189,189,4.97881,20,0,6,239,150,200
0,0,1385,184,4.97881,20,0,6,239,200,350
8354,890,931,149,4.99523,20,0,6,728,220,570
2926,367,707,126,4.99523,20,0,6,728,200,250
4831,531,3266,326,4.99876,20,0,6,30,200,250
1401,184,1436,208,4.96291,20,0,6,-225,150,150
2928,446,928,121,4.97881,21,0,6,239,170,240
0,0,697,126,4.96291,21,0,6,-225,150,150
6135,537,2973,368,4.97881,21,0,6,239,200,250
3451,524,854,161,4.97881,21,0,6,239,180,240
2014,314,1686,251,4.99876,21,0,6,30,170,240
0,0,1135,143,4.99523,21,0,6,728,150,200
1656,225,549,113,4.93731,21,0,6,706,150,200
0,0,1265,212,4.93731,21,0,6,706,150,200
4178,396,537,62,4.96291,21,0,6,-225,200,250
1635,195,760,111,4.96291,21,0,6,-225,150,200
0,0,1338,167,4.97881,21,0,6,239,200,250
3402,361,1478,199,4.99876,21,0,6,30,200,200
3428,444,755,163,4.97881,21,0,6,239,250,250
3499,428,1719,262,4.99523,21,0,6,728,280,380
2356,312,208,23,4.93731,21,0,6,706,150,200
6073,536,111,27,4.97881,21,0,6,239,250,330
2280,316,377,69,4.99523,21,0,6,728,200,200
3291,435,1080,179,4.99876,21,0,6,30,150,200
1918,285,439,72,4.96291,21,0,6,-225,150,200
3806,413,1040,134,4.99876,21,0,6,30,150,200
6672,864,2962,298,4.99876,21,0,6,30,250,300
2154,318,418,71,4.93731,21,0,6,706,150,200
1893,272,283,51,4.93731,21,0,6,706,200,250
0,0,1726,335,4.99876,21,0,6,30,220,220
1963,301,891,178,4.96291,21,0,6,-225,150,200
1585,197,276,29,4.93731,22,0,6,706,130,160
2207,343,1365,222,4.93731,22,0,6,706,270,360
960,110,172,28,4.93731,22,0,6,706,150,200
1495,240,771,102,4.93731,22,0,6,706,150,200
14318,1033,944,125,5.0,22,0,6,-538,500,600
3832,469,4182,361,4.99876,22,0,6,30,200,250
3686,391,1653,229,4.99876,22,0,6,30,150,200
3360,400,1322,121,4.99876,22,0,6,30,200,250
0,0,1259,163,4.93731,22,0,6,706,180,240
1878,249,1388,200,4.93731,22,0,6,706,200,200
1699,251,330,60,4.93731,22,0,6,706,150,200
1995,278,240,47,4.93731,23,0,6,706,150,200
0,0,4168,468,5.0,5,1,6,-1,200,250
1444,194,1126,227,5.0,6,1,6,47,150,200
6088,675,633,139,5.0,6,1,6,47,200,300
6088,675,627,138,5.0,6,1,6,47,250,300
0,0,731,152,4.84071,6,1,6,249,250,250
6456,552,1190,140,4.97492,6,1,6,240,300,350
3370,562,1140,217,4.84071,6,1,6,249,200,250
0,0,1036,202,5.0,6,1,6,-1,180,240
4001,458,819,108,4.84071,6,1,6,249,150,150
0,0,1114,181,5.0,6,1,6,-1,150,200
6947,667,874,120,4.97492,6,1,6,240,350,350
3703,453,133,30,4.84071,6,1,6,249,250,250
1300,206,1043,174,5.0,7,1,6,-210,150,180
2233,341,517,88,4.84071,7,1,6,249,150,150
0,0,712,81,4.97898,7,1,6,522,200,250
0,0,1006,176,5.0,7,1,6,-1,150,200
2834,409,293,62,5.0,7,1,6,-1,200,250
2344,301,1059,146,5.0,7,1,6,-1,150,200
2344,301,1275,170,4.99214,7,1,6,-218,150,200
1573,202,831,136,5.0,7,1,6,-210,150,180
5807,706,4073,497,5.0,7,1,6,-1,150,200
5198,586,625,49,4.97492,7,1,6,240,230,290
0,0,820,87,4.97492,7,1,6,240,200,250
0,0,508,80,5.0,7,1,6,-210,180,240
0,0,3309,404,4.95832,7,1,6,-216,180,200
4085,484,603,60,4.99717,7,1,6,712,180,200
4085,484,196,22,5.0,7,1,6,47,180,200
1689,243,822,139,5.0,7,1,6,-1,150,200
4378,531,287,27,4.99717,7,1,6,712,200,200
4378,531,719,75,5.0,7,1,6,47,200,200
4065,647,1810,328,4.84071,7,1,6,249,200,250
1555,239,669,103,4.99717,7,1,6,712,200,200
1340,178,464,65,4.99717,7,1,6,712,150,150
1036,169,1117,172,5.0,7,1,6,-210,150,180
5018,601,781,102,4.99214,7,1,6,-218,250,250
5018,601,915,99,4.97492,7,1,6,240,250,250
4294,503,631,79,4.99214,7,1,6,-218,200,250
4294,503,765,76,4.97492,7,1,6,240,200,250
1269,236,122,29,5.0,7,1,6,730,160,200
3180,413,894,128,5.0,7,1,6,-210,150,180
3716,473,1805,213,4.99214,7,1,6,-218,200,200
2108,256,682,146,5.0,7,1,6,730,150,200
2108,256,683,146,5.0,7,1,6,730,150,200
3158,448,1045,190,4.99717,7,1,6,712,150,200
3769,514,1393,205,4.84071,7,1,6,249,200,250
2660,347,805,114,4.99214,7,1,6,-218,150,200
9207,744,793,124,4.98208,7,1,6,47,250,250
2059,223,1,0,5.0,7,1,6,730,140,200
0,0,1525,211,5.0,7,1,6,47,150,200
3143,423,576,125,4.97492,7,1,6,240,150,200
1894,272,1507,223,5.0,7,1,6,47,150,200
1824,244,1062,132,4.99214,7,1,6,-218,200,200
4688,578,738,170,4.97492,7,1,6,240,150,300
3303,340,335,63,5.0,7,1,6,-1,150,200
1115,200,446,69,4.99091,7,1,6,-535,150,150
0,0,1003,167,5.0,7,1,6,-210,350,400
3668,437,1215,175,4.99717,7,1,6,712,150,200
1312,205,509,76,5.0,7,1,6,47,150,200
0,0,2130,283,5.0,7,1,6,47,350,400
1921,227,1157,185,5.0,8,1,6,-1,150,200
1150,250,673,143,5.0,8,1,6,-1,200,200
1150,250,654,141,4.99214,8,1,6,-218,200,200
2134,351,1283,187,5.0,8,1,6,-1,200,200
2010,306,539,104,4.98208,8,1,6,47,200,200
1655,178,1158,158,4.98208,8,1,6,47,150,200
1459,253,619,84,4.99214,8,1,6,-218,160,200
3492,558,482,75,5.0,8,1,6,-210,200,200
0,0,251,46,4.97492,8,1,6,240,250,330
1779,243,1295,149,4.99091,8,1,6,-535,170,170
2581,435,585,124,4.98208,8,1,6,47,200,200
4025,439,751,153,4.98208,8,1,6,47,150,150
7368,820,1123,119,4.99717,8,1,6,712,250,250
